"NAME","TYPE","BILLINGSTREET","BILLINGCITY","BILLINGSTATE","BILLINGPOSTALCODE","BILLINGCOUNTRY","SHIPPINGSTREET","SHIPPINGCITY","SHIPPINGSTATE","SHIPPINGPOSTALCODE","SHIPPINGCOUNTRY","PHONE","WEBSITE","INDUSTRY","OWNERSHIP","NUMBEROFEMPLOYEES","RATING","DESCRIPTION","Supplier_Company_Id__c"
"Test acc 0","Customer - Direct","2 Place Jussieu","Zhejiang","AL",0,"MX","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","Yiwu","AU-NS",68467,"US","(212) 842-5500","www.Test acc 0.com","Not For Profit","Other",35,"Cold","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",1111
"Test acc 1","Customer - Channel","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","Zhaoyuan","AR-B",0,"MX","Test acc 2157","Yiwu","AU-NS",322000,"CN","(312) 596-1000","www.Test acc 1.com","Recreation","Public",76457,"Hot","Commerical logistics and transportation company.",1112
"Test acc 10","Channel Partner / Reseller","312 Constitution Place
Austin, TX 78767
USA","ZAPOPAN","AT-5",0,"MX","345 Shoreline Park
Mountain View, CA 94043
USA","Yangjiang","AU-NS",322000,"CN","(336) 222-7000","www.Test acc 10.com","Retail","Private",4567,"Warm","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",1113
"Test acc 100","Installation Partner","345 Shoreline Park
Mountain View, CA 94043
USA","ZAPOPAN","AT-6",0,"MX","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","YANGA","AU-QL",529500,"CN","(415) 901-7000","www.Test acc 100.com","Shipping","Subsidiary",3456,"Cold","World's third largest oil and gas company.",1114
"Test acc 1000","Technology Partner","525 S. Lexington Ave","ZAPOPAN","AU-NS",0,"MX","DHE010828K6A","XXXXX","AU-QL",94930,"MX","(503) 421-7800","www.Test acc 1000.com","Technology","Other",56745,"Warm","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",1115
"Test acc 1001","Other","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","ZACATECAS","AU-NS",0,"MX","CES081007NE0","XXXX","AU-SA",0,"US","(512) 757-6000","www.Test acc 1001.com","Telecommunications","Public",456745,"Hot","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs",1116
"Test acc 1002","Prospect","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States","Zaandam","AU-NS",0,"AR","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","XXX","AU-TS",0,"AR","(520) 773-9050","www.Test acc 1002.com","Transportation","Private",456745,"Warm","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",1117
"Test acc 1003","Customer - Direct","9 Tagore Lane
Singapore, Singapore 787472
Singapore","York","AU-NS",0,"MX","1301 Avenue of the Americas 
New York, NY 10019
USA","Xiamen","AU-VI",0,"US","(650) 450-8810","www.Test acc 1003.com","Utilities","Subsidiary",23,"Cold","Commerical logistics and transportation company.",1118
"Test acc 1004","Customer - Channel","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","YORK","AU-NS",0,"MX","1301 Hoch Drive","Xiamen","AU-VI",361021,"CN","(650) 867-3450","www.Test acc 1004.com","Other","Other",2345,"Warm","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",1119
"Test acc 1005","Channel Partner / Reseller","The Landmark @ One Market","Yiwu","AU-NS",0,"MX","2 Place Jussieu","X","AU-VI",361100,"CN","(785) 241-6200","www.Test acc 1005.com","Apparel","Private",145000,"Warm","World's third largest oil and gas company.",1120
